,MRSBE,MTSP,VBSS-1,VBSS – 5,VBSS-10
Config1_4_Rand_Instance_0.txt,15486,13926.0037119272,26741,22754,22274
Config1_4_Rand_Instance_1.txt,15645,13846.5952282218,24562,21569,20919
Config1_4_Rand_Instance_2.txt,15464,13714,27065,22002,22074
Config1_4_Rand_Instance_3.txt,15022,13690.9793104915,27732,23061,23506
Config1_4_Rand_Instance_4.txt,15460,14004,26143,22544,22554
Config1_4_Rand_Instance_5.txt,15553,14018,27614,23489,23807
Config1_4_Rand_Instance_6.txt,15729,13932,28637,25074,25046
Config1_4_Rand_Instance_7.txt,15876,13979.7373701663,28213,23994,24307
Config1_4_Rand_Instance_8.txt,16327,13819,29677,24743,24863
Config1_4_Rand_Instance_9.txt,15491,14042,25687,21629,21634
Config1_4_Rand_Instance_10.txt,15402,13892.4942307692,26391,22755,22415
Config1_4_Rand_Instance_11.txt,15290,13823.3745265656,24422,20478,20645
Config1_4_Rand_Instance_12.txt,14913,13863.1808645999,26657,23142,22836
Config1_4_Rand_Instance_13.txt,15434,13626,27091,21552,21146
Config1_4_Rand_Instance_14.txt,15560,13723.9694996729,27883,23973,23865
Config1_4_Rand_Instance_15.txt,15093,13749,26345,21853,22144
Config1_4_Rand_Instance_16.txt,15351,13905.6057510154,26198,22267,22765
Config1_4_Rand_Instance_17.txt,15347,13821,26454,21960,21663
Config1_4_Rand_Instance_18.txt,15538,13664,27788,23171,22699
Config1_4_Rand_Instance_19.txt,15940,13827,29107,24242,24527
Config1_4_Rand_Instance_20.txt,15926,13849.1704845076,32187,26677,26009
Config1_4_Rand_Instance_21.txt,15519,13749,27229,22360,22500
Config1_4_Rand_Instance_22.txt,15113,13583.9553796534,26516,21830,21787
Config1_4_Rand_Instance_23.txt,16346,13841,29131,23743,23729
Config1_4_Rand_Instance_24.txt,15694,13818.1018830406,26539,22146,21687
