,MRSBE,MTSP,VBSS-1,VBSS-5,VBSS-10
Config2_4_Rand_Instance_0.txt,15305,14107.8410057889,20659,17760,17345
Config2_4_Rand_Instance_1.txt,15072,13800,20729,17336,17361
Config2_4_Rand_Instance_2.txt,15119,13842.9819044432,21496,18863,18846
Config2_4_Rand_Instance_3.txt,14890,13855,19942,15958,15809
Config2_4_Rand_Instance_4.txt,15254,13911,21222,17964,17446
Config2_4_Rand_Instance_5.txt,15155,14049,21136,17592,17694
Config2_4_Rand_Instance_6.txt,14868,13827,20767,17274,16805
Config2_4_Rand_Instance_7.txt,15386,13748,21579,18700,18621
Config2_4_Rand_Instance_8.txt,15100,13821,22190,18159,18360
Config2_4_Rand_Instance_9.txt,15169,13849.9317047097,21722,17933,17976
Config2_4_Rand_Instance_10.txt,14827,13929.8218091162,19625,16008,15845
Config2_4_Rand_Instance_11.txt,15030,13932,20710,16813,16401
Config2_4_Rand_Instance_12.txt,15252,13769.07875373,20486,17106,16731
Config2_4_Rand_Instance_13.txt,15218,13707.0143423729,20830,18673,19347
Config2_4_Rand_Instance_14.txt,15180,13929,21266,17973,17663
Config2_4_Rand_Instance_15.txt,15495,13825.9999999998,22689,18823,18656
Config2_4_Rand_Instance_16.txt,14789,13883,19396,16459,16368
Config2_4_Rand_Instance_17.txt,14992,14142,20486,17112,17108
Config2_4_Rand_Instance_18.txt,14774,13914.1122403288,21471,19108,19074
Config2_4_Rand_Instance_19.txt,14734,13762,19834,16887,16609
Config2_4_Rand_Instance_20.txt,15628,14111,22199,18935,18373
Config2_4_Rand_Instance_21.txt,15159,13802.1115764512,21455,18341,18337
Config2_4_Rand_Instance_22.txt,15126,13818,21046,17071,16642
